season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc
2025-26,2026,Cormac Ryan,MIL,7,20.0,11.0,1.1,1.4,1.3,0.3,0.545,0.5,0.941,cormac_ryan,2026-04-07T17:04:13Z
2025-26,2026,Craig Porter Jr.,CLE,62,17.8,4.5,3.4,3.2,0.9,0.6,0.444,0.348,0.579,craig_porter,2026-04-07T17:04:13Z
2025-26,2026,D'Angelo Russell,WAS,26,19.0,10.2,2.3,4.0,0.5,0.1,0.405,0.295,0.717,dangelo_russell,2026-04-07T17:04:13Z
2025-26,2026,Daeqwon Plowden,SAC,29,26.2,10.5,3.0,1.2,0.7,0.1,0.426,0.329,0.837,daeqwon_plowden,2026-04-07T17:04:13Z
2025-26,2026,Daniel Gafford,DAL,55,21.7,9.5,6.9,1.1,0.8,1.3,0.655,0.0,0.683,daniel_gafford,2026-04-07T17:04:13Z
2025-26,2026,Daniss Jenkins,DET,69,20.3,9.5,2.2,3.8,0.9,0.2,0.418,0.383,0.824,daniss_jenkins,2026-04-07T17:04:13Z
2025-26,2026,Danny Wolf,BKN,57,20.8,8.9,4.9,2.2,0.5,0.6,0.405,0.322,0.771,danny_wolf,2026-04-07T17:04:13Z
2025-26,2026,Darius Garland,LAC,42,29.7,18.9,2.4,6.8,0.9,0.2,0.465,0.405,0.851,darius_garland,2026-04-07T17:04:13Z
2025-26,2026,Davion Mitchell,MIA,67,28.6,9.2,2.7,6.5,1.0,0.2,0.483,0.395,0.672,davion_mitchell,2026-04-07T17:04:13Z
2025-26,2026,Day'Ron Sharpe,BKN,62,18.7,8.7,6.7,2.3,1.1,0.4,0.601,0.231,0.678,dayron_sharpe,2026-04-07T17:04:13Z
2025-26,2026,De'Aaron Fox,SAS,69,31.0,18.4,3.7,6.1,1.2,0.3,0.488,0.329,0.755,deaaron_fox,2026-04-07T17:04:13Z
2025-26,2026,De'Andre Hunter,SAC,45,26.1,13.7,4.1,2.0,0.7,0.1,0.415,0.305,0.867,deandre_hunter,2026-04-07T17:04:13Z
2025-26,2026,De'Anthony Melton,GSW,45,23.0,12.4,3.2,2.5,1.6,0.4,0.405,0.286,0.827,deanthony_melton,2026-04-07T17:04:13Z
2025-26,2026,DeAndre Jordan,NOP,12,16.6,4.4,6.3,0.9,0.3,0.8,0.656,0.0,0.647,deandre_jordan,2026-04-07T17:04:13Z
2025-26,2026,DeJon Jarreau,MEM,11,21.0,8.0,4.6,3.3,0.9,0.7,0.398,0.133,0.783,dejon_jarreau,2026-04-07T17:04:13Z
2025-26,2026,DeMar DeRozan,SAC,77,31.2,18.4,2.9,4.1,1.0,0.3,0.497,0.32,0.868,demar_derozan,2026-04-07T17:04:13Z
2025-26,2026,Dean Wade,CLE,57,22.4,5.8,4.2,1.5,0.8,0.4,0.432,0.354,0.711,dean_wade,2026-04-07T17:04:13Z
