season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc,team_name_lookup,team_win_pct,team_conf_rank,team_conference,ridge_pred_vote_share,mvp_score,mvp_rank,mvp_tier
2025-26,2026,Marcus Smart,LAL,34,28.5,10.0,3.0,2.9,1.4,0.3,0.407,0.324,0.886,marcus_smart,2026-01-24T02:19:06Z,Lakers,0.605,6,West,-0.3834077534658721,0.38616021046684623,166,Outside
2025-26,2026,John Collins,LAC,41,27.5,13.2,4.9,0.8,0.9,0.9,0.559,0.427,0.807,john_collins,2026-01-24T02:19:06Z,Clippers,0.455,10,West,-0.2417609538585903,0.38191846045304384,167,Outside
2025-26,2026,Santi Aldama,MEM,41,28.0,14.0,6.7,3.0,0.9,0.7,0.478,0.349,0.673,santi_aldama,2026-01-24T02:19:06Z,Grizzlies,0.429,11,West,-0.21470321941717804,0.3803002726136846,168,Outside
2025-26,2026,Jalen Smith,CHI,37,19.4,9.6,6.8,1.3,0.4,0.9,0.466,0.358,0.738,jalen_smith,2026-01-24T02:19:06Z,Bulls,0.5,9,East,-0.2963210019776886,0.3754659317757186,169,Outside
2025-26,2026,Jordan Clarkson,NYK,44,19.5,9.5,1.8,1.3,0.5,0.1,0.425,0.33,0.778,jordan_clarkson,2026-01-24T02:19:06Z,Knicks,0.591,3,East,-0.43692223853852435,0.37503487669581637,170,Outside
2025-26,2026,Christian Braun,DEN,14,28.9,9.5,4.2,2.5,0.6,0.4,0.459,0.212,0.75,christian_braun,2026-01-24T02:19:06Z,Nuggets,0.667,3,West,-0.48650706567423624,0.37428367614738567,171,Outside
2025-26,2026,Jonathan Kuminga,GSW,20,23.8,12.1,5.9,2.5,0.4,0.3,0.454,0.321,0.742,jonathan_kuminga,2026-01-24T02:19:06Z,Warriors,0.543,8,West,-0.34259873674015895,0.3726742586264654,172,Outside
2025-26,2026,Al Horford,GSW,26,19.6,6.8,5.0,2.0,0.8,1.0,0.391,0.351,1.0,al_horford,2026-01-24T02:19:06Z,Warriors,0.543,8,West,-0.34721234195743866,0.3702667115071462,173,Outside
2025-26,2026,Russell Westbrook,SAC,45,29.8,15.6,6.1,6.9,1.4,0.2,0.439,0.353,0.692,russell_westbrook,2026-01-24T02:19:06Z,Kings,0.267,14,West,-0.09076943807659221,0.3699911399787625,174,Outside
2025-26,2026,Davion Mitchell,MIA,40,29.2,9.0,2.6,7.2,1.2,0.1,0.47,0.4,0.651,davion_mitchell,2026-01-24T02:19:06Z,Heat,0.511,8,East,-0.33337596510039164,0.3669085241437325,175,Outside
2025-26,2026,Spencer Jones,DEN,40,23.1,6.2,3.1,0.9,0.9,0.4,0.52,0.4,0.634,spencer_jones,2026-01-24T02:19:06Z,Nuggets,0.667,3,West,-0.5010757353996519,0.3666812140428326,176,Outside
2025-26,2026,Jusuf Nurkić,UTA,35,26.3,11.1,10.2,4.8,1.3,0.5,0.503,0.344,0.563,jusuf_nurkic,2026-01-24T02:19:06Z,Jazz,0.333,13,West,-0.15307840674941575,0.36643709128684077,177,Outside
2025-26,2026,Trendon Watford,PHI,22,15.9,6.3,3.4,2.9,0.3,0.3,0.525,0.4,0.75,trendon_watford,2026-01-24T02:19:06Z,76ers,0.558,5,East,-0.4053617582645386,0.36630947878436054,178,Outside
2025-26,2026,Ryan Dunn,PHX,37,21.0,6.5,4.4,1.7,0.9,0.5,0.453,0.32,0.692,ryan_dunn,2026-01-24T02:19:06Z,Suns,0.614,5,West,-0.44130202838924604,0.36606693444412935,179,Outside
2025-26,2026,Alex Sarr,WAS,34,28.1,17.2,7.4,2.8,0.8,2.1,0.502,0.344,0.706,alex_sarr,2026-01-24T02:19:06Z,Wizards,0.233,14,East,-0.07739266397826719,0.36573195814333564,180,Outside
2025-26,2026,Kevin Huerter,CHI,39,23.7,11.3,3.6,2.6,0.8,0.6,0.459,0.313,0.769,kevin_huerter,2026-01-24T02:19:06Z,Bulls,0.5,9,East,-0.31575706108327867,0.36532348873891024,181,Outside
2025-26,2026,Collin Sexton,CHA,36,23.2,14.9,2.0,4.0,0.8,0.1,0.493,0.385,0.875,collin_sexton,2026-01-24T02:19:06Z,Hornets,0.378,12,East,-0.20022694613001982,0.36385215761880235,182,Outside
2025-26,2026,Ryan Kalkbrenner,CHA,33,24.4,8.7,6.3,0.7,0.6,1.5,0.772,0.0,0.717,ryan_kalkbrenner,2026-01-24T02:19:06Z,Hornets,0.378,12,East,-0.201609552944393,0.3631306630616547,183,Outside
2025-26,2026,Bobby Portis,MIL,43,23.6,13.2,6.4,1.5,0.6,0.2,0.49,0.467,0.75,bobby_portis,2026-01-24T02:19:06Z,Bucks,0.419,11,East,-0.2423837368108317,0.36254978605259525,184,Outside
2025-26,2026,De'Anthony Melton,GSW,20,20.8,11.3,2.7,2.0,1.4,0.6,0.433,0.303,0.787,deanthony_melton,2026-01-24T02:19:06Z,Warriors,0.543,8,West,-0.3636458202031901,0.3616911244450434,185,Outside
2025-26,2026,Quinten Post,GSW,46,17.8,8.0,4.0,1.4,0.5,0.5,0.441,0.348,0.792,quinten_post,2026-01-24T02:19:06Z,Warriors,0.543,8,West,-0.3638099373214229,0.361605482159537,186,Outside
2025-26,2026,Gradey Dick,TOR,46,16.3,6.6,2.2,0.7,0.7,0.1,0.417,0.299,0.847,gradey_dick,2026-01-24T02:19:06Z,Raptors,0.587,4,East,-0.4477170754950186,0.36093656669019675,187,Outside
2025-26,2026,Buddy Hield,GSW,39,16.9,8.0,2.4,1.4,0.8,0.2,0.441,0.357,0.929,buddy_hield,2026-01-24T02:19:06Z,Warriors,0.543,8,West,-0.3664386037307872,0.36023374835409283,188,Outside
2025-26,2026,Rui Hachimura,LAL,33,30.6,12.0,3.5,0.9,0.6,0.3,0.502,0.419,0.763,rui_hachimura,2026-01-24T02:19:06Z,Lakers,0.605,6,West,-0.4354684745700652,0.3589930313907867,189,Outside
2025-26,2026,DeMar DeRozan,SAC,45,33.6,18.8,3.3,4.0,1.4,0.2,0.506,0.358,0.874,demar_derozan,2026-01-24T02:19:06Z,Kings,0.267,14,West,-0.11219568741323296,0.35881014324435617,190,Outside
2025-26,2026,Moses Moody,GSW,44,24.4,10.7,3.0,1.5,0.9,0.6,0.43,0.394,0.797,moses_moody,2026-01-24T02:19:06Z,Warriors,0.543,8,West,-0.3731368581313608,0.3567383554179636,191,Outside
2025-26,2026,Nic Claxton,BKN,40,29.6,12.6,7.5,4.0,0.7,1.4,0.583,0.167,0.642,nic_claxton,2026-01-24T02:19:06Z,Nets,0.286,13,East,-0.1444739055453714,0.355390043102204,192,Outside
2025-26,2026,Domantas Sabonis,SAC,14,30.2,15.4,11.4,3.6,1.0,0.2,0.519,0.174,0.721,domantas_sabonis,2026-01-24T02:19:06Z,Kings,0.267,14,West,-0.12231941226106334,0.3535272151553019,193,Outside
2025-26,2026,P.J. Washington,DAL,32,31.1,14.5,7.3,1.9,1.1,1.4,0.454,0.318,0.685,pj_washington,2026-01-24T02:19:06Z,Mavericks,0.422,12,West,-0.24922449592011875,0.35282890736718575,194,Outside
2025-26,2026,Toumani Camara,POR,45,33.8,13.0,5.1,2.7,1.0,0.5,0.431,0.35,0.704,toumani_camara,2026-01-24T02:19:06Z,Trail Blazers,0.511,9,West,-0.34691465562379625,0.352700685531092,195,Outside
2025-26,2026,Jarred Vanderbilt,LAL,34,19.8,4.9,5.1,1.3,0.9,0.4,0.485,0.315,0.71,jarred_vanderbilt,2026-01-24T02:19:06Z,Lakers,0.605,6,West,-0.4499840846894789,0.3514182577198048,196,Outside
2025-26,2026,Adem Bona,PHI,34,16.8,4.1,4.0,0.3,0.3,1.4,0.593,0.4,0.672,adem_bona,2026-01-24T02:19:06Z,76ers,0.558,5,East,-0.43851713352934374,0.34900779724694575,197,Outside
2025-26,2026,Daniel Gafford,DAL,29,20.8,7.8,6.5,0.8,0.8,1.3,0.629,0.0,0.761,daniel_gafford,2026-01-24T02:19:06Z,Mavericks,0.422,12,West,-0.2569387075098447,0.34880335099294224,198,Outside
2025-26,2026,Brandon Williams,DAL,39,22.2,12.2,2.9,3.7,1.1,0.2,0.455,0.192,0.787,brandon_williams,2026-01-24T02:19:06Z,Mavericks,0.422,12,West,-0.26147706413355926,0.3464350713284959,199,Outside
